Tipo,Rubro,Subregion,Año,Municipio,Área Total,Área Producción,Volumen Producción
Permanentes,Aguacate,Oriente,1990,Abejorral,"45,00","23,00","138,00"
Permanentes,Aguacate,Urabá,1990,Apartadó,"29,00","27,00","405,00"
Permanentes,Aguacate,Suroeste,1990,Montebello,"17,00","12,00","78,00"
Permanentes,Aguacate,Suroeste,1990,Santa Bárbara,"150,00","140,00","980,00"
Permanentes,Aguacate,Urabá,1990,Turbo,"75,00","55,00","825,00"
Transitorios,Anis,Occidente,1990,Giraldo,"35,00","33,50","17,40"
Transitorios,Arroz Tecnificado,Bajo Cauca,1990,Cáceres,"450,00","450,00","900,00"
Transitorios,Arroz Tecnificado,Bajo Cauca,1990,Caucasia,"1700,00","1700,00","6399,99"
Transitorios,Arroz Tecnificado,Urabá,1990,Mutatá,"750,00","355,00","1719,98"
Transitorios,Arroz Tecnificado,Bajo Cauca,1990,Nechí,"1550,00","1480,00","4771,96"
Transitorios,Arroz Tecnificado,Magdalena Medio,1990,Yondó,"700,00","550,00","2090,00"
Transitorios,Arroz Tradicional,Urabá,1990,Arboletes,"995,00","995,00","1194,00"
Transitorios,Arroz Tradicional,Urabá,1990,Chigorodó,"1003,00","1003,00","5015,00"
Transitorios,Arroz Tradicional,Bajo Cauca,1990,El Bagre,"688,00","483,00","487,00"
Transitorios,Arroz Tradicional,Urabá,1990,Murindó,"330,00","280,00","700,00"
Transitorios,Arroz Tradicional,Urabá,1990,Necoclí,"497,00","497,00","524,83"
Transitorios,Arroz Tradicional,Urabá,1990,San Juan de Urabá,"250,00","220,00","440,00"
Transitorios,Arroz Tradicional,Urabá,1990,Turbo,"70,00","70,00","364,00"
Transitorios,Arroz Tradicional,Urabá,1990,Vigía del Fuerte,"2303,00","2166,00","5415,00"
Transitorios,Arroz Tradicional,Bajo Cauca,1990,Zaragoza,"350,00","280,00","322,00"
Transitorios,Arveja,Oriente,1990,Concepción,"110,00","110,00","41,00"
Transitorios,Arveja,Oriente,1990,El Santuario,"180,00","180,00","900,00"
Transitorios,Arveja,Occidente,1990,Giraldo,"18,00","17,40","27,70"
Permanentes,Banano Exportación,Urabá,1990,Apartadó,"7643,00","7643,00","382150,00"
Permanentes,Banano Exportación,Urabá,1990,Carepa,"4446,00","4263,00","184255,39"
Permanentes,Banano Exportación,Urabá,1990,Chigorodó,"2933,00","1865,00","76092,00"
Permanentes,Banano Exportación,Urabá,1990,Turbo,"8354,00","8354,00","258138,00"
Permanentes,Cacao,Nordeste,1990,Amalfi,"325,00","323,00","161,50"
Permanentes,Cacao,Urabá,1990,Apartadó,"2930,00","2850,00","1225,50"
Permanentes,Cacao,Oriente,1990,Argelia,"232,00","227,00","72,64"
Permanentes,Cacao,Occidente,1990,Armenia,"183,00","180,00","86,40"
Permanentes,Cacao,Occidente,1990,Cañasgordas,"106,00","90,00","27,00"
Permanentes,Cacao,Magdalena Medio,1990,Caracolí,"170,00","100,00","38,00"
Permanentes,Cacao,Bajo Cauca,1990,Caucasia,"170,00","170,00","85,00"
Permanentes,Cacao,Suroeste,1990,Ciudad Bolívar,"50,00","50,00","30,00"
Permanentes,Cacao,Occidente,1990,Dabeiba,"462,00","450,00","180,00"
Permanentes,Cacao,Suroeste,1990,Fredonia,"150,00","150,00","90,00"
Permanentes,Cacao,Magdalena Medio,1990,Maceo,"650,00","450,00","135,00"
Permanentes,Cacao,Oriente,1990,Nariño,"130,00","130,00","65,00"
Permanentes,Cacao,Magdalena Medio,1990,Puerto Berrío,"207,00","205,00","47,15"
Permanentes,Cacao,Magdalena Medio,1990,Puerto Nare,"113,00","108,00","32,40"
Permanentes,Cacao,Nordeste,1990,Remedios,"55,00","55,00","27,50"
Permanentes,Cacao,Norte,1990,San Andrés de C.,"121,00","110,00","41,80"
Permanentes,Cacao,Oriente,1990,San Carlos,"132,00","132,00","54,78"
Permanentes,Cacao,Oriente,1990,San Luis,"215,00","200,00","70,00"
Permanentes,Cacao,Urabá,1990,San Pedro de Uraba,"157,00","101,00","30,30"
Permanentes,Cacao,Suroeste,1990,Santa Bárbara,"150,00","150,00","60,00"
Permanentes,Cacao,Suroeste,1990,Támesis,"369,00","362,00","225,16"
Permanentes,Cacao,Norte,1990,Valdivia,"50,00","25,00","10,00"
Permanentes,Cacao,Suroeste,1990,Valparaiso,"200,00","200,00","100,00"
Permanentes,Cacao,Magdalena Medio,1990,Yondó,"430,00","320,00","128,00"
Permanentes,Café,Oriente,1990,Alejandría,"377,00","350,00","525,00"
Permanentes,Café,Suroeste,1990,Amagá,"2296,00","2266,00","2297,72"
Permanentes,Café,Nordeste,1990,Amalfi,"2470,00","2247,00","5055,75"
Permanentes,Café,Suroeste,1990,Andes,"14360,00","12900,00","29025,00"
Permanentes,Café,Suroeste,1990,Angelópolis,"967,00","967,00","771,67"
Permanentes,Café,Norte,1990,Angostura,"1267,00","1250,00","1625,00"
Permanentes,Café,Nordeste,1990,Anorí,"300,00","260,00","520,00"
Permanentes,Café,Occidente,1990,Anzá,"1430,00","1406,00","2249,60"
Permanentes,Café,Oriente,1990,Argelia,"2450,00","2350,00","2350,00"
Permanentes,Café,Occidente,1990,Armenia,"2167,00","1887,00","1086,91"
Permanentes,Café,Valle de Aburra,1990,Barbosa,"1630,00","1440,00","2268,00"
Permanentes,Café,Suroeste,1990,Betania,"7000,00","6000,00","9000,00"
Permanentes,Café,Suroeste,1990,Betulia,"6325,00","5623,00","8434,50"
Permanentes,Café,Norte,1990,Briceño,"727,00","690,00","1081,92"
Permanentes,Café,Occidente,1990,Caicedo,"1091,00","1013,00","1418,20"
Permanentes,Café,Norte,1990,Campamento,"544,00","538,00","672,50"
Permanentes,Café,Occidente,1990,Cañasgordas,"4767,00","3814,00","3787,30"
Permanentes,Café,Magdalena Medio,1990,Caracolí,"300,00","200,00","180,00"
Permanentes,Café,Suroeste,1990,Caramanta,"2596,00","2516,00","3145,00"
Permanentes,Café,Nordeste,1990,Cisneros,"574,00","487,00","827,90"
Permanentes,Café,Suroeste,1990,Ciudad Bolívar,"12638,00","11633,00","16286,20"
Permanentes,Café,Oriente,1990,Cocorná,"2120,00","1899,00","2197,14"
Permanentes,Café,Suroeste,1990,Concordia,"5200,00","4500,00","11250,00"
Permanentes,Café,Occidente,1990,Dabeiba,"2400,00","2200,00","2750,00"
Permanentes,Café,Occidente,1990,Ebéjico,"3393,00","3200,00","4640,00"
Permanentes,Café,Oriente,1990,El Peñol,"450,00","450,00","562,50"
Permanentes,Café,Oriente,1990,El Retiro,"106,00","100,00","148,00"
Permanentes,Café,Suroeste,1990,Fredonia,"5287,00","4302,00","5721,66"
Permanentes,Café,Occidente,1990,Frontino,"1370,00","870,00","2029,71"
Permanentes,Café,Occidente,1990,Giraldo,"670,00","643,00","1286,00"
Permanentes,Café,Norte,1990,Gómez Plata,"1457,00","1390,00","2085,00"
Permanentes,Café,Oriente,1990,Granada,"1570,00","1405,00","2388,50"
Permanentes,Café,Occidente,1990,Heliconia,"2528,00","2314,00","2314,00"
Permanentes,Café,Suroeste,1990,Hispania,"1603,00","1220,00","1220,00"
Permanentes,Café,Norte,1990,Ituango,"3791,00","3780,00","3250,80"
Permanentes,Café,Suroeste,1990,Jardín,"3118,00","2876,00","7909,00"
Permanentes,Café,Suroeste,1990,Jericó,"4300,00","3000,00","4500,00"
Permanentes,Café,Occidente,1990,Liborina,"1552,00","1474,00","1768,80"
Permanentes,Café,Magdalena Medio,1990,Maceo,"1190,00","1050,00","393,75"
Permanentes,Café,Suroeste,1990,Montebello,"4140,00","3750,00","3562,50"
Permanentes,Café,Occidente,1990,Olaya,"491,00","370,00","555,00"
Permanentes,Café,Occidente,1990,Peque,"583,00","566,00","679,20"
Permanentes,Café,Suroeste,1990,Pueblorrico,"1978,00","1785,00","3391,50"
Permanentes,Café,Occidente,1990,Sabanalarga,"590,00","496,00","1512,80"
Permanentes,Café,Suroeste,1990,Salgar,"9340,00","8730,00","13095,00"
Permanentes,Café,Norte,1990,San Andrés de C.,"1073,00","1011,00","1263,75"
Permanentes,Café,Oriente,1990,San Carlos,"2600,00","2420,00","3823,60"
Permanentes,Café,Oriente,1990,San Francisco,"606,00","588,00","312,23"
Permanentes,Café,Occidente,1990,San Jerónimo,"950,00","880,00","1320,00"
Permanentes,Café,Oriente,1990,San Luis,"900,00","900,00","900,00"
Permanentes,Café,Oriente,1990,San Rafael,"2192,00","2092,00","1962,30"
Permanentes,Café,Nordeste,1990,San Roque,"1741,00","1701,00","2988,66"
Permanentes,Café,Suroeste,1990,Santa Bárbara,"3072,00","2792,00","4651,47"
Permanentes,Café,Occidente,1990,Santa Fe de Antioquia,"1080,00","960,00","1200,00"
Permanentes,Café,Nordeste,1990,Santo Domingo,"1420,00","1340,00","1969,80"
Permanentes,Café,Oriente,1990,Sonsón,"4000,00","3642,00","3642,00"
Permanentes,Café,Occidente,1990,Sopetrán,"1088,00","1062,00","1593,00"
Permanentes,Café,Suroeste,1990,Támesis,"4629,00","3061,00","4591,50"
Permanentes,Café,Suroeste,1990,Tarso,"2954,00","2740,00","7535,00"
Permanentes,Café,Suroeste,1990,Titiribí,"2224,00","1997,00","2196,70"
Permanentes,Café,Occidente,1990,Uramita,"1175,00","1175,00","1057,50"
Permanentes,Café,Suroeste,1990,Urrao,"910,00","815,00","733,50"
Permanentes,Café,Suroeste,1990,Valparaiso,"1800,00","1600,00","1760,00"
Permanentes,Café,Suroeste,1990,Venecia,"2321,00","2200,00","3740,00"
Permanentes,Café,Nordeste,1990,Yalí,"593,00","543,00","304,08"
Permanentes,Café,Norte,1990,Yarumal,"832,00","705,00","1249,97"
Permanentes,Café,Nordeste,1990,Yolombó,"2665,00","2498,00","2248,20"
Permanentes,Caña,Oriente,1990,Abejorral,"534,00","515,00","2729,50"
Permanentes,Caña,Oriente,1990,Alejandría,"127,00","120,00","348,00"
Permanentes,Caña,Suroeste,1990,Amagá,"402,00","400,00","1136,00"
Permanentes,Caña,Nordeste,1990,Amalfi,"575,00","553,00","1437,80"
Permanentes,Caña,Suroeste,1990,Andes,"542,00","527,00","4216,00"
Permanentes,Caña,Suroeste,1990,Angelópolis,"132,00",,
Permanentes,Caña,Norte,1990,Angostura,"1135,00","1100,00","4400,00"
Permanentes,Caña,Nordeste,1990,Anorí,"800,00","600,00","2700,00"
Permanentes,Caña,Oriente,1990,Argelia,"260,00","255,00","892,50"
Permanentes,Caña,Valle de Aburra,1990,Barbosa,"800,00","700,00","2450,00"
Permanentes,Caña,Norte,1990,Briceño,"1200,00","1000,00","3500,00"
Permanentes,Caña,Norte,1990,Campamento,"4980,00","4900,00","14700,00"
Permanentes,Caña,Suroeste,1990,Caramanta,"350,00","310,00","1240,00"
Permanentes,Caña,Nordeste,1990,Cisneros,"550,00","500,00","1650,00"
Permanentes,Caña,Suroeste,1990,Ciudad Bolívar,"100,00","100,00","500,00"
Permanentes,Caña,Oriente,1990,Cocorná,"1875,00","1875,00","4875,00"
Permanentes,Caña,Oriente,1990,Concepción,"112,00","112,00","336,00"
Permanentes,Caña,Suroeste,1990,Concordia,"1050,00","700,00","4200,00"
Permanentes,Caña,Occidente,1990,Dabeiba,"1000,00","1000,00","4500,00"
Permanentes,Caña,Norte,1990,Don Matías,"45,00","45,00","259,20"
Permanentes,Caña,Occidente,1990,Ebéjico,"948,00","860,00","3440,00"
Permanentes,Caña,Suroeste,1990,Fredonia,"150,00","80,00","400,00"
Permanentes,Caña,Occidente,1990,Frontino,"1810,00","1600,00","17600,00"
Permanentes,Caña,Norte,1990,Gómez Plata,"250,00","235,00","1579,20"
Permanentes,Caña,Oriente,1990,Granada,"1450,00","1425,00","3705,00"
Permanentes,Caña,Norte,1990,Ituango,"370,00","343,00","926,10"
Permanentes,Caña,Suroeste,1990,Jardín,"140,00","50,00","400,00"
Permanentes,Caña,Occidente,1990,Liborina,"201,00","181,00","615,40"
Permanentes,Caña,Magdalena Medio,1990,Maceo,"480,00","450,00","1642,50"
Permanentes,Caña,Oriente,1990,Nariño,"700,00","700,00","1750,00"
Permanentes,Caña,Suroeste,1990,Pueblorrico,"400,00","400,00","2000,00"
Permanentes,Caña,Suroeste,1990,Salgar,"350,00","350,00","2800,00"
Permanentes,Caña,Norte,1990,San Andrés de C.,"252,00","240,00","624,00"
Permanentes,Caña,Oriente,1990,San Carlos,"270,00","260,00","520,00"
Permanentes,Caña,Oriente,1990,San Luis,"278,00","250,00","480,00"
Permanentes,Caña,Oriente,1990,San Rafael,"312,00","288,00","1382,40"
Permanentes,Caña,Nordeste,1990,San Roque,"1625,00","1600,00","4000,00"
Permanentes,Caña,Suroeste,1990,Santa Bárbara,"220,00","210,00","420,00"
Permanentes,Caña,Nordeste,1990,Santo Domingo,"810,00","660,00","1815,00"
Permanentes,Caña,Oriente,1990,Sonsón,"800,00","600,00","2400,00"
Permanentes,Caña,Suroeste,1990,Támesis,"216,00","216,00","710,21"
Permanentes,Caña,Suroeste,1990,Tarso,"137,00","125,00","720,00"
Permanentes,Caña,Suroeste,1990,Titiribí,"400,00","320,00","2240,00"
Permanentes,Caña,Suroeste,1990,Urrao,"815,00","810,00","3078,00"
Permanentes,Caña,Suroeste,1990,Valparaiso,"500,00","450,00","1575,00"
Permanentes,Caña,Nordeste,1990,Vegachí,"740,00","501,00","2308,11"
Permanentes,Caña,Nordeste,1990,Yalí,"896,00","896,00","3010,56"
Permanentes,Caña,Norte,1990,Yarumal,"1050,00","850,00","2550,00"
Permanentes,Caña,Nordeste,1990,Yolombó,"2020,00","2000,00","8000,00"
Permanentes,Cebolla Junca,Occidente,1990,Giraldo,"12,00","12,00","252,00"
Permanentes,Coco,Urabá,1990,Necoclí,"450,00","450,00","1795,50"
Permanentes,Coco,Urabá,1990,San Juan de Urabá,"710,00","500,00","4000,00"
Permanentes,Coco,Urabá,1990,San Pedro de Uraba,"78,00","78,00","499,20"
Permanentes,Coco,Bajo Cauca,1990,Tarazá,"140,00","130,00","1170,00"
Permanentes,Esparrago,Suroeste,1990,Jardín,"33,00","20,00","155,00"
Permanentes,Fique,Oriente,1990,Alejandría,"103,00","100,00","250,00"
Permanentes,Fique,Oriente,1990,Concepción,"200,00","170,00","340,00"
Permanentes,Fique,Oriente,1990,San Vicente,"448,00","398,00","796,00"
Permanentes,Fique,Suroeste,1990,Urrao,"180,00","180,00","324,00"
Transitorios,Fríjol Arbustivo,Occidente,1990,Abriaquí,"310,00","142,00","49,70"
Transitorios,Fríjol Arbustivo,Nordeste,1990,Amalfi,"800,00","800,00","480,00"
Transitorios,Fríjol Arbustivo,Suroeste,1990,Andes,"415,00","195,00","117,00"
Transitorios,Fríjol Arbustivo,Suroeste,1990,Betulia,"238,00","169,00","73,30"
Transitorios,Fríjol Arbustivo,Occidente,1990,Caicedo,"250,00","238,00","163,98"
Transitorios,Fríjol Arbustivo,Suroeste,1990,Ciudad Bolívar,"100,00","200,00","120,00"
Transitorios,Fríjol Arbustivo,Oriente,1990,Cocorná,"500,00","490,00","507,98"
Transitorios,Fríjol Arbustivo,Occidente,1990,Dabeiba,"3100,00","2900,00","1740,00"
Transitorios,Fríjol Arbustivo,Norte,1990,Ituango,"3610,00","3550,00","1531,83"
Transitorios,Fríjol Arbustivo,Occidente,1990,Liborina,"330,00","155,00","62,00"
Transitorios,Fríjol Arbustivo,Occidente,1990,Peque,"980,00","980,00","509,50"
Transitorios,Fríjol Arbustivo,Occidente,1990,Sabanalarga,"305,00","265,00","125,98"
Transitorios,Fríjol Arbustivo,Suroeste,1990,Salgar,"250,00","220,00","110,00"
Transitorios,Fríjol Arbustivo,Oriente,1990,San Luis,"70,00","70,00","38,50"
Transitorios,Fríjol Arbustivo,Occidente,1990,Santa Fe de Antioquia,"1300,00","1220,00","610,00"
Transitorios,Fríjol Arbustivo,Nordeste,1990,Santo Domingo,"56,00","56,00","22,40"
Transitorios,Fríjol Arbustivo,Occidente,1990,Uramita,"1100,00","1060,00","597,84"
Transitorios,Fríjol Voluble,Oriente,1990,Abejorral,"185,00","175,00","161,00"
Transitorios,Fríjol Voluble,Oriente,1990,Concepción,"420,00","430,00","395,99"
Transitorios,Fríjol Voluble,Oriente,1990,El Carmen de Viboral,"2721,00","2322,00","2001,01"
Transitorios,Fríjol Voluble,Oriente,1990,El Peñol,"540,00","500,00","675,00"
Transitorios,Fríjol Voluble,Oriente,1990,El Santuario,"1080,00","1080,00","1620,00"
